"permission_id","name","description","status"
1,Permissions.Pegawai.Manage,Permissions.Pegawai.Manage,active
2,Site.Content.View,Allow users to view the Content Context,active
3,Site.Reports.View,Allow users to view the Reports Context,active
4,Site.Settings.View,Allow users to view the Settings Context,active
5,Site.Developer.View,Allow users to view the Developer Context,active
6,Bonfire.Roles.Manage,Allow users to manage the user Roles,active
7,Bonfire.Users.Manage,Allow users to manage the site Users,active
8,Bonfire.Users.View,Allow users access to the User Settings,active
9,Bonfire.Users.Add,Allow users to add new Users,active
10,Bonfire.Database.Manage,Allow users to manage the Database settings,active
11,Bonfire.Emailer.Manage,Allow users to manage the Emailer settings,active
12,Bonfire.Logs.View,Allow users access to the Log details,active
13,Bonfire.Logs.Manage,Allow users to manage the Log files,active
14,Bonfire.Emailer.View,Allow users access to the Emailer settings,active
15,Site.Signin.Offline,Allow users to login to the site when the site is offline,active
16,Bonfire.Permissions.View,Allow access to view the Permissions menu unders Settings Context,active
17,Bonfire.Permissions.Manage,Allow access to manage the Permissions in the system,active
18,Bonfire.Roles.Delete,Allow users to delete user Roles,active
19,Bonfire.Modules.Add,Allow creation of modules with the builder.,active
20,Bonfire.Modules.Delete,Allow deletion of modules.,active
21,Permissions.Administrator.Manage,To manage the access control permissions for the Administrator role.,active
22,Pegawai.Kepegawaian.Addpendidikan,Pegawai.Kepegawaian.Addpendidikan,active
23,DiklatStruktural.Kepegawaian.Create,"",active
24,Permissions.User.Manage,To manage the access control permissions for the User role.,active
25,Permissions.Developer.Manage,To manage the access control permissions for the Developer role.,active
26,DiklatStruktural.Kepegawaian.Delete,"",active
27,Activities.Own.View,To view the users own activity logs,active
28,Activities.Own.Delete,To delete the users own activity logs,active
29,Activities.User.View,To view the user activity logs,active
30,Activities.User.Delete,"To delete the user activity logs, except own",active
31,Activities.Module.View,To view the module activity logs,active
32,Activities.Module.Delete,To delete the module activity logs,active
33,Activities.Date.View,To view the users own activity logs,active
34,Activities.Date.Delete,To delete the dated activity logs,active
35,Bonfire.UI.Manage,Manage the Bonfire UI settings,active
36,Bonfire.Settings.View,To view the site settings page.,active
37,Bonfire.Settings.Manage,To manage the site settings.,active
38,Bonfire.Activities.View,To view the Activities menu.,active
39,Bonfire.Database.View,To view the Database menu.,active
40,Bonfire.Migrations.View,To view the Migrations menu.,active
41,Bonfire.Builder.View,To view the Modulebuilder menu.,active
42,Bonfire.Roles.View,To view the Roles menu.,active
43,Bonfire.Sysinfo.View,To view the System Information page.,active
44,Bonfire.Translate.Manage,To manage the Language Translation.,active
45,Bonfire.Translate.View,To view the Language Translate menu.,active
46,Bonfire.UI.View,To view the UI/Keyboard Shortcut menu.,active
48,Unitkerja.Masters.Create,Create Unitkerja Masters,active
49,Bonfire.Profiler.View,To view the Console Profiler Bar.,active
50,Bonfire.Roles.Add,To add New Roles,active
51,Unitkerja.Masters.View,View Unitkerja Masters,active
53,Unitkerja.Masters.Edit,Edit Unitkerja Masters,active
54,Unitkerja.Masters.Delete,Delete Unitkerja Masters,active
55,Agama.Masters.View,View Agama Masters,active
56,Agama.Masters.Create,Create Agama Masters,active
57,Agama.Masters.Edit,Edit Agama Masters,active
58,Agama.Masters.Delete,Delete Agama Masters,active
59,Petajabatan.Reports.View,View Petajabatan Reports,active
60,Dashboard.Reports.View,"",active
61,DiklatStruktural.Kepegawaian.Edit,"",active
62,DiklatStruktural.Kepegawaian.View,"",active
146,RiwayatPendidikan.Kepegawaian.Create,,active
147,RiwayatPendidikan.Kepegawaian.View,,active
148,RiwayatPendidikan.Kepegawaian.Delete,,active
149,RiwayatPendidikan.Kepegawaian.Edit,,active
150,DiklatFungsional.Kepegawaian.Create,,active
151,DiklatFungsional.Kepegawaian.Edit,,active
152,DiklatFungsional.Kepegawaian.Delete,,active
153,DiklatFungsional.Kepegawaian.View,,active
154,RiwayatKepangkatan.Kepegawaian.Create,,active
155,RiwayatKepangkatan.Kepegawaian.Edit,,active
156,RiwayatKepangkatan.Kepegawaian.View,,active
157,RiwayatKepangkatan.Kepegawaian.Delete,,active
158,Site.Masters.View,,active
159,RiwayatPindahUnitKerja.Kepegawaian.View,,active
160,RiwayatPindahUnitKerja.Kepegawaian.Create,,active
161,RiwayatPindahUnitKerja.Kepegawaian.Delete,,active
162,RiwayatPindahUnitKerja.Kepegawaian.Edit,,active
163,RiwayatPrestasiKerja.Kepegawaian.Create,,active
164,RiwayatPrestasiKerja.Kepegawaian.Edit,,active
165,RiwayatPrestasiKerja.Kepegawaian.View,,active
166,RiwayatPrestasiKerja.Kepegawaian.Delete,,active
167,Dashboard.Reports.View,"",active
168,Golongan.Masters.View,View Golongan Masters,active
169,Golongan.Masters.Create,Create Golongan Masters,active
170,Golongan.Masters.Edit,Edit Golongan Masters,active
171,Golongan.Masters.Delete,Delete Golongan Masters,active
172,Pegawai.Kepegawaian.View,View Pegawai Kepegawaian,active
173,Pegawai.Kepegawaian.Create,Create Pegawai Kepegawaian,active
174,Pegawai.Kepegawaian.Edit,Edit Pegawai Kepegawaian,active
175,Pegawai.Kepegawaian.Delete,Delete Pegawai Kepegawaian,active
176,Petajabatan.Reports.View,View Petajabatan Reports,active
177,Ref_jabatan.Masters.View,View Ref_jabatan Masters,active
178,Ref_jabatan.Masters.Create,Create Ref_jabatan Masters,active
179,Site.Kepegawaian.View,Allow user to view the Kepegawaian Context.,active
180,Pegawai.Kepegawaian.View,View Pegawai Kepegawaian,active
181,Pegawai.Kepegawaian.Create,Pegawai.Kepegawaian.Create,active
182,Pegawai.Kepegawaian.Edit,Pegawai.Kepegawaian.Edit,active
183,Pegawai.Kepegawaian.Delete,Pegawai.Kepegawaian.Delete,active
184,Ref_jabatan.Masters.View,View Ref_jabatan Masters,active
185,Ref_jabatan.Masters.Create,Create Ref_jabatan Masters,active
186,Ref_jabatan.Masters.Edit,Edit Ref_jabatan Masters,active
187,Ref_jabatan.Masters.Delete,Delete Ref_jabatan Masters,active
188,MasterPendidikan.Masters.View,View Tkpendidikan Masters,active
189,MasterPendidikan.Masters.Create,Create Tkpendidikan Masters,active
190,MasterPendidikan.Masters.Edit,Edit Tkpendidikan Masters,active
191,MasterPendidikan.Masters.Delete,Delete Tkpendidikan Masters,active
192,Unitkerja.Masters.View,View Unitkerja Masters,active
193,Unitkerja.Masters.Create,Create Unitkerja Masters,active
194,Unitkerja.Masters.Edit,Edit Unitkerja Masters,active
195,Unitkerja.Masters.Delete,Delete Unitkerja Masters,active
196,Agama.Masters.View,View Agama Masters,active
197,Agama.Masters.Create,Create Agama Masters,active
198,Agama.Masters.Edit,Edit Agama Masters,active
199,Agama.Masters.Delete,Delete Agama Masters,active
200,Petajabatan.Reports.Create,Petajabatan.Reports.Create,active
201,Petajabatan.Reports.Edit,Petajabatan.Reports.Edit,active
202,Petajabatan.Reports.Delete,Petajabatan.Reports.Delete,active
203,Pegawai.Kepegawaian.Ubahfoto,Pegawai.Kepegawaian.Ubahfoto,active
204,Pegawai.Kepegawaian.Updatemandiri,Pegawai.Kepegawaian.Updatemandiri,active
205,riwayatjabatan.Kepegawaian.Create,riwayatjabatan.Kepegawaian.Create,active
206,riwayatjabatan.Kepegawaian.Edit,riwayatjabatan.Kepegawaian.Edit,active
207,riwayatjabatan.Kepegawaian.Delete,riwayatjabatan.Kepegawaian.Delete,active
209,Permissions.Executive.Manage,To manage the access control permissions for the executive role.,active
210,Rekap.Reports.View,"",active
211,Permissions.Admin_satker.Manage,To manage the access control permissions for the admin_satker role.,active
212,Tkpendidikan.Masters.View,Tkpendidikan.Masters.View,active
213,Tkpendidikan.Masters.Create,Tkpendidikan.Masters.Create,active
214,Tkpendidikan.Masters.Edit,Tkpendidikan.Masters.Edit,active
215,Tkpendidikan.Masters.Delete,Tkpendidikan.Masters.Delete,active
216,riwayatpekerjaan.Kepegawaian.Create,riwayatpekerjaan.Kepegawaian.Create,active
217,riwayatpekerjaan.Kepegawaian.Edit,riwayatpekerjaan.Kepegawaian.Edit,active
218,riwayatpekerjaan.Kepegawaian.Delete,riwayatpekerjaan.Kepegawaian.Delete,active
219,riwayatpekerjaan.Kepegawaian.View,riwayatpekerjaan.Kepegawaian.View,active
220,Permissions.Pegawai_update.Manage,To manage the access control permissions for the pegawai_update role.,active
221,Pegawai.Kepegawaian.Filtersatker,Permission Untuk filter data pegawai sesuai dengan satkernya,active
780,RiwayatKepangkatan.Kepegawaian.VerifikasiB,RiwayatKepangkatan.Kepegawaian.VerifikasiB,active
781,Pegawai.Kepegawaian.LihatProfileLain,Pegawai.Kepegawaian.LihatProfileLain,active
771,Permissions.Admin_bagian.Manage,Permissions.Admin_bagian.Manage,active
772,riwayatjabatan.Kepegawaian.Updmandiri,riwayatjabatan.Kepegawaian.Updmandiri,active
773,riwayatjabatan.Kepegawaian.VerifikasiS,riwayatjabatan.Kepegawaian.VerifikasiS,active
774,riwayatjabatan.Kepegawaian.VerifikasiB,riwayatjabatan.Kepegawaian.VerifikasiB,active
775,RiwayatPendidikan.Kepegawaian.Updmandiri,RiwayatPendidikan.Kepegawaian.Updmandiri,active
776,RiwayatPendidikan.Kepegawaian.VerifikasiS,RiwayatPendidikan.Kepegawaian.VerifikasiS,active
777,RiwayatPendidikan.Kepegawaian.VerifikasiB,RiwayatPendidikan.Kepegawaian.VerifikasiB,active
778,RiwayatKepangkatan.Kepegawaian.Updmandiri,RiwayatKepangkatan.Kepegawaian.Updmandiri,active
779,RiwayatKepangkatan.Kepegawaian.VerifikasiS,RiwayatKepangkatan.Kepegawaian.VerifikasiS,active
783,Pindah_unit.Layanan.View,Pindah_unit.Layanan.View,active
784,Pindah_unit.Layanan.Create,Pindah_unit.Layanan.Create,active
785,Pindah_unit.Layanan.Edit,Pindah_unit.Layanan.Edit,active
786,Pindah_unit.Layanan.Delete,Pindah_unit.Layanan.Delete,active
791,Pindah_unit.Layanan.UnitAsal,Pindah_unit.Layanan.UnitAsal,active
792,Site.Layanan.View,Site.Layanan.View,active
793,Pegawai.Kepegawaian.VerifikasiUpdate3,Pegawai.Kepegawaian.VerifikasiUpdate3,active
794,Pegawai.Kepegawaian.VerifikasiUpdate,Pegawai.Kepegawaian.VerifikasiUpdate,active
795,Bezzeting.Reports.View,Bezzeting.Reports.View,active
840,Pindah_unit.Layanan.UnitTujuan,Pindah_unit.Layanan.UnitTujuan,active
841,Pindah_unit.Layanan.Biro,Pindah_unit.Layanan.Biro,active
842,Pindah_unit.Layanan.Sestama,Pindah_unit.Layanan.Sestama,active
843,Pindah_unit.Layanan.Dashboard,Pindah_unit.Layanan.Dashboard,active
844,Pindah_unit.Layanan.DashboardSes,Pindah_unit.Layanan.DashboardSes,active
796,riwayatkgb.Kepegawaian.Create,riwayatkgb.Kepegawaian.Create,active
797,riwayatkgb.Kepegawaian.Delete,riwayatkgb.Kepegawaian.Delete,active
798,riwayatkgb.Kepegawaian.Edit,riwayatkgb.Kepegawaian.Edit,active
799,Permissions.Pengelola KPO Satker.Manage,To manage the access control permissions for the Pengelola KPO Satker role.,active
800,Permissions.Pengelola PPO Sekretariat.Manage,To manage the access control permissions for the Pengelola PPO Sekretariat role.,active
801,Permissions.Pengelola KPO Instansi.Manage,To manage the access control permissions for the Pengelola KPO Instansi role.,active
802,LayananKpo.View.PengelolaKPOSatker,"",active
803,LayananKpo.View.PengelolaKPOSekretariat,"",active
845,Permissions.Pemroses_mutasi.Manage,To manage the access control permissions for the pemroses_mutasi role.,active
804,LayananKpo.View.PengelolaKPOInstansi,,active
846,Rekap.Reports.Eis,Rekap.Reports.Eis,active
847,Rekap.Reports.Eise,Rekap.Reports.Eise,active
848,Rekap.Reports.Golongan_usia,Rekap.Reports.Golongan_usia,active
849,Rekap.Reports.BupUsia,Rekap.Reports.BupUsia,active
850,Rekap.Reports.Genderusia,Rekap.Reports.Genderusia,active
851,Riwayathukdis.Kepegawaian.View,Riwayathukdis.Kepegawaian.View,active
852,Riwayathukdis.Kepegawaian.Create,Riwayathukdis.Kepegawaian.Create,active
853,Riwayathukdis.Kepegawaian.Edit,Riwayathukdis.Kepegawaian.Edit,active
805,LayananKpo.UploadDataBKN,,active
806,LayananKpo.FinalisasiUsulan,,active
807,LayananKpo.Cetak,,active
808,LayananKpo.TambahUsulan,,active
854,Riwayathukdis.Kepegawaian.Delete,Riwayathukdis.Kepegawaian.Delete,active
855,Riwayatassesmen.Kepegawaian.Create,Riwayatassesmen.Kepegawaian.Create,active
811,LayananKpo.KirimInboxInstansi,,active
809,LayananKpo.KirimInboxSekretariat,,active
812,LayananKpo.VerifikasiUsulan,,active
813,Permissions.Pengelola KPO Sekretariat.Manage,To manage the access control permissions for the Pengelola KPO Sekretariat role.,active
810,LayananKpo.UploadDokumenPendukung,,active
856,Riwayatassesmen.Kepegawaian.View,Riwayatassesmen.Kepegawaian.View,active
814,LayananKpo.ViewDokumenPendukung,,active
815,Permissions.Pengelola KGB Satker.Manage,To manage the access control permissions for the Pengelola KGB Satker role.,active
816,Permissions.Pengelola KGB Instansi.Manage,To manage the access control permissions for the Pengelola KGB Instansi role.,active
857,Riwayatassesmen.Kepegawaian.Edit,Riwayatassesmen.Kepegawaian.Edit,active
858,Riwayatassesmen.Kepegawaian.Delete,Riwayatassesmen.Kepegawaian.Delete,active
859,Rekap.Reports.Pendidikan_usia,Rekap.Reports.Pendidikan_usia,active
860,Rekap.Reports.Golongan_gender,Rekap.Reports.Golongan_gender,active
861,Rekap.Reports.Golongan_pendidikan,Rekap.Reports.Golongan_pendidikan,active
862,Rekap.Reports.Pendidikan_gender,Rekap.Reports.Pendidikan_gender,active
863,Rekap.Reports.Agama_gender,Rekap.Reports.Agama_gender,active
819,LayananKGB.ProsesKGB,,active
820,LayananKGB.CetakSKPersonal,,active
821,LayananKGB.CetakSKKolektif,,active
864,Rekap.Reports.Status_pegawai,Rekap.Reports.Status_pegawai,active
865,Pegawai.Kepegawaian.permissionEselon1,Pegawai.Kepegawaian.permissionEselon1,active
866,Riwayatkursus.Kepegawaian.Create,Riwayatkursus.Kepegawaian.Create,active
817,LayananKGB.View.PengelolaKGBSatker,,active
818,LayananKGB.View.PengelolaKGBInstansi,,active
822,LayananKGB.SettingsSatker,,active
823,Permissions.Pengelola PPO Satker.Manage,To manage the access control permissions for the Pengelola PPO Satker role.,active
824,Permissions.Pengelola PPO Sekretariat.Manage,To manage the access control permissions for the Pengelola PPO Sekretariat role.,active
825,Permissions.Pengelola PPO Instansi.Manage,To manage the access control permissions for the Pengelola PPO Instansi role.,active
826,LayananPPO.View.PengelolaPPOSatker,,active
827,LayananPPO.View.PengelolaPPOSekretariat,,active
828,LayananPPO.View.PengelolaPPOInstansi,,active
